grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
～た方（ほう）がいい;It'd be better to, Should do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%BB%E3%81%86%E3%81%8C%E3%81%84%E3%81%84;Verb［た］+ 方（ほう） + が + いい | Verb［た］+ 方（ほう） + が + いい + です;Expression;Adjective;Standard;In Japanese, there are several ways to express that something 'should' be done. たほうがいい is one of the most common, especially when giving advice. This expression uses the past tense of a verb grouped with 方（ほう）, the particle が, and the い-Adjective, いい.;Because this phrase is quite direct, it would be better to use a more polite expression like ばいい, if giving general advice.;食（た）べる前（まえ）に手（て）を洗（あら）った方（ほう）がいいよ。;It would be better if you washed your hands before you eat. (You should wash your hands);ことだ | ばいい | べき;ないほうがいい | べきではない;かた | より～のほうが | たらいい・といい | たらどう
ない方（ほう）がいい;It'd be better not to, Shouldn't do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%BB%E3%81%86%E3%81%8C%E3%81%84%E3%81%84;Verb［ない］+ 方（ほう） + が + いい | Verb［ない］+ 方（ほう） + が + いい + です;Expression;Adjective;Standard;Like たほうがいい, ないほうがいい is used in Japanese for giving advice. However, this expression suggests that it is better 'not' to do something.;;あそこは危（あぶ）ないから、行（い）かない方（ほう）がいいよ。;Because that place over there is dangerous, it would be better not to go there.;;たほうがいい | ばいい | ことだ | べき | たらいい・といい;べきではない
なくちゃ・なきゃ;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A1%E3%82%83-%E3%81%AA%E3%81%8D%E3%82%83;Verb［ない］ + なきゃ(1) + いけない | Verb［ない］ + なくちゃ+ いけない |  | (1) なけりゃ | Verb［ない］ + なきゃ(1) + いけません | Verb［ない］ + なくちゃ+ いけません |  | (1) なけりゃ;Expression;Informal Speech;Casual;なくちゃ (short for なくては), and なきゃ (short for なければ) are the most common colloquial abbreviations used to convey that something 'must', or 'has to' be done.;Common abbreviations;今日（きょう）は家（いえ）の掃除（そうじ）をしなきゃだめだから、遊（あそ）ばない。;Since I must tidy up the house today, I won't hang out.;なければならない | なくてはならない | なくてはいけない | なければいけない;てはいけない | べきではない;ないと
や;Things like, And the like;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%82%84;Noun + や + Noun;Particle;Sentence Ending Particle;Standard;や is a particle that has several different roles in Japanese, with the most common being as an adverbial particle. や is used similarly to と as 'and', but rather than listing specific things in a group, it lists 'things like (A)'.;Cannot be used after verbs, unlike とか | や cannot be used after verb phrases. This is done with たり, or とか.;昨日（きのう）の飲（の）み会（かい）でビールとワインを飲（の）んだ。;Last night at the party, I drank beer and wine. (Only beer and wine);と;;～ら | および | やら～やら | とか～とか | たり～たりする
～たことがある;Have done before;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%93%E3%81%A8%E3%81%8C%E3%81%82%E3%82%8B;Verb［た］+ こと + が + ある | Verb［た］+ こと + が + ない | Verb［た］+ こと + が + あります | Verb［た］+ こと + が + ありません;Expression;Verb;Standard;たことがある is a set expression in Japanese that is used for saying that 'there has been a time that I have done (A)'.;Just like English, many set phrases cannot be adjusted in Japanese (in the same way that こと cannot be swapped with の in this expression).;私（わたし）はお菓子（かし）を買（か）ったことが無（な）い。;I have never bought snacks.;;;ことがある | たものだ
～ている ③;Has/have done, Is ~ing (Repetition);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B3;Verb［て］+ いる | Verb［て］+ る | Verb［て］ + とる | Verb［て］+ います | Verb［て］+ ます | Verb［て］ + とります;Conjunctive Particle;Verb;Standard;The 3rd most common meaning (in no specific order) that ている is used for in Japanese, is the repetition of common activities. This is for things that are not 'continuing', but happen so often that they are considered to be continuous (like going to work, having a hobby, and similar things).;ている is often shortened to てる. This applies to all tenses, including てる, てて, てた, and even てます | With this meaning of ている, to make it easier to understand, expressions of time are often used. This can be things like 毎日（まいにち）, 毎晩（まいばん）, 毎週（まいしゅう）, and similar phrases.;彼（かれ）は学校（がっこう）で働（はたら）いている。;He works at a school. (This is a regular activity for him);ている①;;Verb［た・ている］+ Noun | Verb + て | ている②
～て (Adjectives and Nouns);And... (Conjunctive);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%A6-noun-%E3%81%A7;［い］Adjective［い］ + く + て | おもしろい + く + て | 新（あたら）しい + く + て |  | ［な］Adjective + で | しずか + で | 好（す）き + で |  | Noun + で | 先生（せんせい） + で | 仕事（しごと）+ で |  | Exceptions: | いい→よくて;Adjective + Conjunctions;Particle / Auxiliary Verb;Standard;The て form of an い-Adjective, or で form of a noun (or な-Adjective) is exactly the same as the て form of a verb, in that it carries the meaning of 'and', and is used for linking. It will allow us to list multiple qualities/traits of something.;Like other て forms (ている 1, ている 2, and ている 3), the て (or で) form of other words can have several possible meanings. These meanings are as follows. | Linking - Like 'and' in English. | Reasons - Like 'with (A)', or 'because of (A)' in English. | Manner - Like 'to do (B) in an (A) way' in English. | As with all other conjugations of いい, remember that it will be よくて, and not いくて.;あの自転車（じてんしゃ）は便利（べんり）で軽（かる）い。;That bicycle is useful and light.;;;Verb + て+ B | なくて | 連用形 | Adjective + て + B | Verb[て] + B
～て (Qualities and States);And..., Both and (Conjunctive);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%A6-b;［い］Adjective［い］ + く + て | ［な］Adjective + で + Phrase | Noun + で + Phrase;Particle;Conjunctive Particle;Standard;The て form of an い-Adjective, or で form of a noun (or な-Adjective) is exactly the same as the て form of a verb, in that it carries the meaning of 'and', and is used for linking.;Like other て forms (ている 1, ている 2, and ている 3), the て (or で) form of other words can have several possible meanings. These meanings are as follows. | Linking - Like 'and' in English. | Reasons - Like 'with (A)', or 'because of (A)' in English. | Manner - Like 'to do (B) in an (A) way' in English. | As with all other conjugations of いい, remember that it will be よくて, and not いくて.;トミーは漫画家（まんがか）でたまに学校（がっこう）で国語（こくご）を教（おし）えている。;Tommy is a cartoonist, and occasionally teaches the national language at school.;;;Adjective + て・Noun + で | し～し 
のが下手（へた）;To be bad at, Poor at, Unskillful;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%B8%E3%81%9F;Verb + のが + 下手（へた）;Expression;Adjectival Noun;Standard;～のが下手（へた） is a phrase that behaves in almost exactly the same way as ～のが上手（じょうず）, but rather than meaning 'to be good at (A)', it means 'to be bad at (A)', (which is a much more handy expression, if you are like me!). This particular expression is used with the plain (dictionary) form of verbs only.;If you want to express that you were bad at something (in the past), the verb will still remain in the plain form, but 下手（へた） will change to the past tense.;彼（かれ）は運転（うんてん）するのが下手（へた）です。;He is bad at driving.;;のがすき | のがじょうず;
のが上手（じょうず）;To be good at, Proficient;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%98%E3%82%87%E3%81%86%E3%81%9A;Verb + の + が + 上手（じょうず）;Expression;Adjectival Noun;Standard;～のが上手（じょうず） is a phrase that behaves in almost exactly the same way as ～のが好（す）き, but rather than meaning 'to like' something, it means 'to be good at' something. This particular expression is used with the plain (dictionary) form of verbs only.;If you want to express that you were good at something (in the past), the verb will still remain in the plain form, but 上手（じょうず） will change to the past tense. | This grammar point can sound a little bit arrogant if you are referring to your own skills, so the word 得意（とくい） may also be used if you want to sound a bit more humble.;彼（かれ）は歌（うた）うのが上手（じょうず）です。;He is good at singing.;;のがへた;のがすき
(Adjective) + のは;The 'one' that... (Indefinite pronoun, Adjective nominalization);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%AE-%E3%81%AF;［な］Adjective + な + の + は(1) | ［い］Adjective + の + は(1) |  | (1) が、も;Expression;Case Marking Particle;Standard;One of the roles that the particle の can take in Japanese is replacing a noun that has already been mentioned, or one that has not been mentioned yet. In this way, it is similar to 'the one that (A)' in English. When using this expression, we will need to use な before の, when a な-Adjective is being used.;の may be used more than once in the same sentence, referring to the same noun.;心配（しんぱい）なのはあなたです。;The one that is to be worried about is you.;のはXの方だ | の;;Particle + の
あげる;To give (away), To present, To provide;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%92%E3%82%8B;Giver(*)は(1) + Recipient(*)に + Object(*)をあげる |  | Recipient(*)に + Giver(*)は(1) + Object(*)をあげる |  | Giver(*)は(1) + Object(*)を + Recipient(*)にあげる |  | (*) Giver, Recipient and Object are Nouns | (1) が | Giver(*)は(1) + Recipient(*)に + Object(*)をあげます |  | Recipient(*)に + Giver(*)は(1) + Object(*)をあげます |  | Giver(*)は(1) + Object(*)を + Recipient(*)にあげます |  | (*) Giver, Recipient and Object are Nouns | (1) が;Verb;Independent Word;Standard;あげる is a verb with many uses in Japanese. It's original meaning is 'to raise', but is also used as a polite speech way of saying 'to give'. In this way it can be thought of as similar to 'to offer up' in English. As polite speech has the same basic subject and object rules as standard speech, the giver will be marked with は or が, while the recipient will be marked with に. As usual, the 'object' that is being given will be marked with を.;For both あげる and くれる, に marks the recipient | あげる should not be used when giving something to someone of a higher status, or when lowering oneself to elevate another. This is done through honorific language, or humble speech, and will use different verbs.;トムがプレゼントをタカにあげる。;Tom will give Taka a present.;;;くれる | もらう | てあげる
くれる;To give (me), To be given;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8C%E3%82%8B;Giver(*)は(1) + Recipient(*)に + Object(*)をくれる |  | Recipient(*)に + Giver(*)は(1) + Object(*)をくれる |  | Giver(*)は(1) + Object(*)を + Recipient(*)にくれる |  | (*) Giver, Recipient and Object are Nouns | (1) が | Giver(*)は(1) + Recipient(*)に + Object(*)をくれます |  | Recipient(*)に + Giver(*)は(1) + Object(*)をくれます |  | Giver(*)は(1) + Object(*)を + Recipient(*)にくれます |  | (*) Giver, Recipient and Object are Nouns | (1) が;Verb;Independent Word;Standard;くれる is generally taught as part of a set of 3 verbs that are regularly used for giving and receiving in Japanese. These verbs are くれる, あげる, and もらう. くれる means 'to give' (to you, or someone that is part of your 'in' group).;For both くれる and あげる, に marks the recipient | When we want to say that we (or someone else) gave something to someone that is not in our 'in' group, we will need to use あげる instead.;嫁（よめ）がプレゼントをくれた。;My wife gave me a present.;;;てくれる | あげる | もらう | てくれてありがとう
貰（もら）う;To receive, To get, To obtain;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%82%82%E3%82%89%E3%81%86;Giver(*)に + Recipient(*)は(1) + Object(*)をもらう |  | Recipient(*)は(1) + Giver(*)に + Object(*)をもらう |  | Giver(*)に + Object(*)を + Recipient(*)は(1)もらう |  | (*) Giver, Recipient and Object are Nouns | (1) が | Giver(*)に + Recipient(*)は(1) + Object(*)をもらいます |  | Recipient(*)は(1) + Giver(*)に + Object(*)をもらいます |  | Giver(*)に + Object(*)を + Recipient(*)は(1)もらいます |  | (*) Giver, Recipient and Object are Nouns | (1) が;Verb;Independent Word;Standard;もらう is the 3rd verb that is regularly taught together with くれる, and あげる. It is used to highlight that (A) is 'received' by someone. However, unlike くれる and あげる (which are used to highlight that something is 'given'), もらう requires the に particle (or から) to mark the giver, not the recipient. が or は may be used to mark the recipient, as they are the one performing the action of receiving. を will mark the object that is being given.;Unlike あげる and くれる, に (or から) marks the giver, not the recipient;これをもらった！;I got this!;;;てもらう | あげる | くれる
けれども;But, Although;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%91%E3%82%8C%E3%81%A9%E3%82%82;Verb + けれども | ［い］Adjective + けれども | ［な］Adjective + だ + けれども | Noun + だ + けれども | Verb (Polite) + けれども | ［い］Adjective + です + けれども | ［な］Adjective + です + けれども | Noun + です + けれども;Particle;Conjunctive Particle;Formal;けれども is the more formal (full version) of the conjunction particle けど. Like けど, it usually carries the meaning of 'but', but because of its formality, sounds a bit more like 'although', or 'provided that'. It simply highlights that 'while thinking about (A), (B)'. Meaning that the (B) phrase is important, or needs to be considered.;As with けど (and other forms of 'but' in Japanese), the phrase after けれども will often be omitted if it is obvious, or the speaker does not want to say it.;これはゲームだけれども、面白（おもしろ）くないです。;This is a game, but it is not fun.;ものの | が;;だが・ですが | ところが | けど・だけど
つもりだ;To plan to, To intend to;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%A4%E3%82%82%E3%82%8A%E3%81%A0;Verb［る］ + つもり + だ | Verb［ない］+ つもり + だ(*) | Verb + つもり + は(1) + ない(**) |  | (1) が | (*) To intend not to | (**) To have no intention of | Verb［る］ + つもり + です | Verb［ない］+ つもり + です(*) | Verb + つもり + は(1) + ありません(**) |  | (1) が | (*) To intend not to | (**) To have no intention of;Noun;Auxiliary Verb;Standard;つもりだ (or です) is a grammar point that can have several meanings in Japanese, but is often translated simply as 'intend to (A)', or 'plan to (A)'. It can be used after the plain (dictionary) form of verbs, or after the ない form.;The は in つもりはない is interchangeable with が or じゃ (usually では is not used). The difference in nuance is that が gives the impression of being 'uninterested' in (A), while じゃ simply expresses that (A) is not the intended result.;明日（あした）は休（やす）みだから、早（はや）く起（お）きるつもりはない。;Since I have the day off tomorrow, I have no intention of waking up early.;よていだ;;はずだ | つもりで | 〜ようと思う・〜おうと思う
