grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
だろう;Right?, Probably, Isn't it?;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86;Verb + だろう | Adjective + だろう | Noun + だろう;Auxiliary Verb;Dependent Word;Standard;だろう is a conjugated form of だ, and can also be seen in the contracted form だろ (more casual). だろう expresses that the speaker thinks that something is true (assertion/expectation), and also that the listener would probably agree with them. This comes across like 'right?', or 'probably' in English.;While だろう is usually used when the speaker has some sort of information that would support their assertion, it can also be used simply when the speaker 'feels' that something is true. | In this kind of sentence that expresses a 'feeling' or 'hunch', だろう comes across as quite low confidence. The speaker's tone of voice will often reveal how confident だろう is.;お前（まえ）、明日（あした）パーティーに行（い）くだろ？;You are going to the party tomorrow, right?;でしょう;まい;ね | のではないだろうか | かもしれない | じゃないか
が有（あ）る;To be, There is;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B;Noun + が + ある | Noun + が + あります;Expression;Verb;Standard;がある is a common construction that is simply a combination of the が particle, and the う-Verb, ある. This expression means 'to exist', or 'there is', and is used in relation to non-living/inanimate things.;有る kanji use can be seen | The が in がある is often omitted in casual speech, or writing that behaves like casual speech (manga, instant messaging, etc).;キッチンにケーキがある。;There is a cake in the kitchen. (Correct example);がいる;;だ | がある + Noun | である | です | ございます
が居（い）る;To be, There is,  To remain (in a state);N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%84%E3%82%8B;"Noun + が + いる | Noun + が + います";Expression;Verb;Standard;がいる is a common construction that is simply a combination of the が particle, and the verb いる. This expression means 'to exist', or 'there is', and is used in relation to living/animate things.;居る kanji use can frequently be seen | The が in がいる is often omitted in casual speech, or writing that behaves like casual speech (manga, instant messaging, etc).;猫（ねこ）がいる。;There is a cat.;がある;;いらっしゃる
この;This;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%93%E3%81%AE;この + (Near The Speaker) Noun;Fixed Adjective;Independent Word;Standard;この is classified as a 'pre-noun adjectival' in Japanese. These are a special type of word that do not conjugate. This means that they will always appear in the same form. この comes from the same family of words as これ and ここ, and is used to identify a 'thing' that is near the speaker.;;この仕事（しごと）は大変（たいへん）だ。;This work is difficult.;;;それ | そこ | あの | その | どの | ここ | これ | あれ | あそこ
その;That;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%AE;Demonstrative, その + Noun;Fixed Adjective;Independent Word;Standard;その is classified as a 'pre-noun adjectival' in Japanese. These are a special type of word that do not conjugate. This means that they will always appear in the same form. その comes from the same family of words as それ and そこ, and is used to identify a 'thing' that is near the listener.;;その本（ほん）がいい。;That book is good.;;;それ | あそこ | あれ | ここ | そこ | この | あの | どの
あの;That (over there);N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%AE;Demonstrative, あの + Noun;Noun;Pronoun;Standard;あの is classified as a 'pre-noun adjectival' in Japanese. These are a special type of word that do not conjugate. This means that they will always appear in the same form. あの comes from the same family of words as あれ and あそこ, and is used to identify a 'thing' that is away from both the listener, and the speaker. It is usually translated as 'that' (thing over there).;;あの話（はなし）はウソ？;Is that thing you said a lie? (That story that we both know about);;;それ | あれ | ここ | この | その | そこ | あそこ | どの
んです・のです;Explanatory, Emphasis, The fact is;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99;Verb + ん(1) + だ | ［い］Adjective + ん(1) + だ | ［な］Adjective + な + ん(1) + だ | Noun + な + ん(1) + だ |  | (1) の | Verb + の(1) + です | ［い］Adjective + の(1) + です | ［な］Adjective + な + の(1) + です | Noun + な + の(1) + です |  | (1) ん;Expression;Auxiliary Verb;Standard;のです is a construction with several different forms, each meaning roughly the same thing. This expression behaves similarly to だ and です by themselves (asserting that something is true). However, the addition of の strengthens the relationship being highlighted. Due to this, it will come across a bit like 'it is a fact that (A)' in English.;There is no real difference between ん and の. Only の is considered 'correct Japanese', but ん evolved to make things easier to say. ん is the most common form in spoken Japanese, and the use of の could be considered a bit formal, or 'stiff'.;あなたはこれが欲（ほ）しいんですか？;Is this what you want?;;;です | んだけど・んですが
い-Adjective (Past);Was, Were (Past tense);N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/past-tense-%E3%81%84-adjectives;［い］Adjective［い］+ かった |  | Examples: | おもしろい + かった | 新（あたら）しい + かった | ［い］Adjective［い］+ かった + です |  | Examples: | おもしろい + かった + です | 新（あたら）しい + かった + です;Adjective;Auxiliary Verb;Standard;In order to create the past form of い-Adjectives, you must add the auxiliary verb た to the 'past' conjunction form of the い-Adjective. The past conjunction form is created by removing the い and replacing it with かっ. This structure is equivalent to 'was' in English.;い-Adjectives, whether positive or negative, cannot be used with だ | Although this is considered to be polite by most people, using です after かった is not academically correct Japanese. However, considering how common its usage has become, it may be used in almost any situation confidently.;このケーキは甘（あま）かったです。;This cake was sweet.;;;
のは・のが;Verb nominalizer, The one who..., That which...;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AF;Verb + の;Particle;Case Marking Particle;Standard;In Japanese, のは and のが behave in a very similar way to the words 'that' and 'which' in English. This means that they perform a task called nominalization. Nominalization is when a phrase is treated in the same way as a single noun.;の cannot be used as a substitute for こと in set expressions like ことができる, or ことがある. It also may not be followed by だ, である, or です, as this would become the explanatory ～んです, or のです in that case.;沢山（たくさん）食（た）べるのは彼（かれ）です。;He is the one that eats a lot. (Literally 'the one that eats a lot, he is');Adjective + の(は);;は | Particle + の | こと
い-Adjective + (Noun);Describing a noun;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%84-adjective-noun;［い］Adjective + Noun |  | Examples: | かわいい + 猫（ねこ） | 新（あたら）しい + 車（くるま） | 寒（さむ）い + 冬（ふゆ）;Expression;Independent Word;Standard;In Japanese, almost any type of word can be attached to the beginning of a noun to modify the meaning, or describe the qualities of that noun. However, depending on the type of word used, conjugation rules will differ slightly.;When identifying what is an い-Adjective, and what is not, remember that an い-Adjective will always have the い outside of any kanji that are in the word. However, the reverse situation with な-Adjectives always having the い in the kanji is not true 100% of the time. | 面白（おもしろ）い - The い is outside of the kanji, so 'interesting' is almost definitely an い-Adjective. | 綺麗（きれい） - The い is inside of the kanji, so 'clean' is definitely not an い-Adjective. | One example of an exception as mentioned above is 嫌（きら）い. Despite the い being outside of the kanji, 'hate' is actually a な-Adjective. Don't worry though, less than 1% of any adjective that has い on the outside of the kanji will actually be a な-Adjective!;怖（こわ）い先生（せんせい）。;A scary teacher.;;;な-Adjective + Noun
