grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url
誰（だれ）か・どこか・誰（だれ）も・どこも;Someone, Somewhere, Not anyone, Not anywhere;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E8%AA%B0%E3%81%8B-%E3%81%A9%E3%81%93%E3%81%8B-%E8%AA%B0%E3%82%82-%E3%81%A9%E3%81%93%E3%82%82
ましょう;Let's, Shall we (Polite volitional);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%97%E3%82%87%E3%81%86
ましょうか;Shall we, Shall I;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%97%E3%82%87%E3%81%86%E3%81%8B
ませんか;Won't you, Would you not, Why don't we;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%9B%E3%82%93%E3%81%8B
～てもいい (Verb);It's okay to, It's alright to, Can/may;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/verb-%E3%81%A6%E3%82%82%E3%81%84%E3%81%84
～て下（くだ）さい;Please do (Polite request);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84
～ないで下（くだ）さい;Please don't (Polite request);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A7%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84
～てはいけない;Must not, May not;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84
なくてはいけない;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84
なくてはならない;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84
～た方（ほう）がいい;It'd be better to, Should do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%BB%E3%81%86%E3%81%8C%E3%81%84%E3%81%84
ない方（ほう）がいい;It'd be better not to, Shouldn't do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%BB%E3%81%86%E3%81%8C%E3%81%84%E3%81%84
なくちゃ・なきゃ;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A1%E3%82%83-%E3%81%AA%E3%81%8D%E3%82%83
や;Things like, And the like;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%82%84
～たことがある;Have done before;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%93%E3%81%A8%E3%81%8C%E3%81%82%E3%82%8B
